class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,ant,10,4042,0.830776843147,0.543542800594,0.373204700987
1,1,bat,13,4039,0.992134382082,0.0799702896757,0.389982808048
2,2,bat fish,4,4048,0.764081027668,0.475296442688,0.420301206344
3,3,bee,11,4041,0.965692560347,0.155654540955,0.362786140356
4,4,beetle,3,4049,0.875771795505,0.190417387009,0.399110569964
5,5,bird,95,3957,0.792602050996,0.41268637857,0.336288552949
6,6,bittern,12,4040,0.908622112211,0.29801980198,0.440588856792
7,7,bug,22,4030,0.752210692533,0.542679900744,0.335168418152
8,8,butterfly,53,3999,0.846103035193,0.406601650413,0.367887191486
9,9,cat,107,3945,0.927066083887,0.41875792142,0.255733608198
10,10,caterpillar,39,4013,0.838537573399,0.537253924745,0.349543550752
11,11,centipede,3,4049,0.984111303202,0.0456902938997,0.435207535562
12,12,chameleon,28,4024,0.939479196251,0.433151093439,0.409002475778
13,13,cheetah,10,4042,0.994507669471,0.0205343889164,0.45064903587
14,14,cicada,45,4007,0.953664420597,0.306463688545,0.4202216863
15,15,clown fish,5,4047,0.990857425253,0.0205090190264,0.499994595046
16,16,crab,29,4023,0.94479158631,0.310713397962,0.356996868722
17,17,crocodile,7,4045,0.984460533286,0.0889987639061,0.413630639362
18,18,crocodile fish,3,4049,0.995801432452,0.00889108421833,0.464465567263
19,19,deer,22,4030,0.973889014212,0.0836228287841,0.367814859458
20,20,dog,23,4029,0.887468030691,0.276743608836,0.26069808157
21,21,dragonfly,15,4037,0.862191396251,0.267525390141,0.395580123882
22,22,duck,7,4045,0.975207487198,0.0489493201483,0.320638705981
23,23,fish,43,4009,0.845957061727,0.376652531803,0.295121788564
24,24,flounder,24,4028,0.986552466071,0.0732373386296,0.436691139569
25,25,frog,44,4008,0.907469152604,0.314620758483,0.351548788899
26,26,frog fish,7,4045,0.957054564718,0.0924598269468,0.420744159753
27,27,frogmouth,7,4045,0.992901289069,0.0249690976514,0.584775902302
28,28,gecko,19,4033,0.91313766688,0.357054302008,0.398287955694
29,29,ghost pipefish,41,4011,0.98510194526,0.0491149339317,0.532868184627
30,30,giraffe,9,4043,0.991782779564,0.0695028444225,0.297742019087
31,31,grasshopper,124,3928,0.912914312463,0.28284114053,0.352579251289
32,32,grouse,7,4045,0.988027547236,0.0185414091471,0.440315585489
33,33,heron,23,4029,0.980392156863,0.0779349714569,0.399384968592
34,34,human,30,4022,0.782811205039,0.595226255594,0.25557876299
35,35,kangaroo,3,4049,0.998847452046,0.00197579649296,0.491317060785
36,36,katydid,129,3923,0.908047748618,0.381850624522,0.464408810104
37,37,leafy sea dragon,5,4047,0.961749444033,0.0679515690635,0.48568963318
38,38,leopard,22,4030,0.989972930296,0.0397022332506,0.427564613873
39,39,lion,5,4047,0.998962194218,0.00197677291821,0.403774817733
40,40,lizard,77,3975,0.876977864902,0.635471698113,0.297391952869
41,41,mantis,62,3990,0.926384509661,0.393984962406,0.405596956766
42,42,mockingbird,14,4038,0.999257057949,0.00297176820208,0.506483634645
43,43,monkey,2,4050,0.833703703704,0.275555555556,0.316723674846
44,44,moth,31,4021,0.830390450137,0.350907734394,0.411017868705
45,45,octopus,21,4031,0.981524140294,0.0610270404366,0.453866732631
46,46,other,15,4037,0.462984064074,0.951944513252,0.216117550973
47,47,owl,71,3981,0.931678996359,0.133383571967,0.393826475657
48,48,owlfly,6,4046,0.767630581644,0.548690064261,0.351214098978
49,49,pagurian,6,4046,0.948797165925,0.196737518537,0.434452930124
50,50,pipefish,141,3911,0.983485386734,0.0641779596011,0.487667955741
51,51,rabbit,17,4035,0.968919017421,0.0832713754647,0.348864223191
52,52,reccoon,2,4050,0.79012345679,0.334814814815,0.32855458762
53,53,sciuridae,16,4036,0.955850470763,0.132309217047,0.45510133508
54,54,scorpion fish,47,4005,0.937891465455,0.222971285893,0.405844131619
55,55,sea horse,55,3997,0.96627470603,0.144108081061,0.342848341888
56,56,sheep,1,4051,0.882498148605,0.117501851395,0.315876405782
57,57,shrimp,12,4040,0.889150165017,0.339851485149,0.380063756741
58,58,slug,2,4050,0.76037037037,0.478765432099,0.33304447281
59,59,snake,28,4024,0.914512922465,0.223161033797,0.361335514048
60,60,spider,120,3932,0.884846558155,0.400305188199,0.361958121891
61,61,star fish,9,4043,0.991233132712,0.0437793717536,0.439897772386
62,62,stick insect,37,4015,0.957429908115,0.278206724782,0.446790581335
63,63,stingaree,9,4043,0.989968944953,0.0289389067524,0.489887886107
64,64,tiger,16,4036,0.976399900892,0.356045589693,0.294083141014
65,65,toad,80,3972,0.94422520141,0.148791540785,0.378475141644
66,66,turtle,4,4048,0.935091403162,0.121541501976,0.326078453125
67,67,wolf,6,4046,0.973348162795,0.048690064261,0.370640684376
68,68,worm,11,4041,0.520798182268,0.820588963128,0.297550602077
69,69,no camouflaged animal,2026,2026,0.664717142108,0.901283316881,0.340787626075
