class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,ant,10,4042,0.588347352796,0.795150915388,0.215602672349
1,1,bat,13,4039,0.947606985735,0.288190146076,0.245754533162
2,2,bat fish,4,4048,0.891242588933,0.253705533597,0.23084532282
3,3,bee,11,4041,0.990371420216,0.0645879732739,0.264286375566
4,4,beetle,3,4049,0.765950440438,0.475179056557,0.23604551732
5,5,bird,95,3957,0.841136959153,0.406115744251,0.23061634479
6,6,bittern,12,4040,0.954764851485,0.156683168317,0.262068020678
7,7,bug,22,4030,0.47860365441,0.89776674938,0.199503047476
8,8,butterfly,53,3999,0.891218087541,0.408102025506,0.226225808553
9,9,cat,107,3945,0.863948213165,0.469455006337,0.22084810662
10,10,caterpillar,39,4013,0.853182285776,0.420383752803,0.238927488985
11,11,centipede,3,4049,0.98468757718,0.0234625833539,0.293574222934
12,12,chameleon,28,4024,0.838327179778,0.57430417495,0.230709909316
13,13,cheetah,10,4042,0.947451756556,0.351063829787,0.22535664297
14,14,cicada,45,4007,0.923006960042,0.425006239082,0.23109914568
15,15,clown fish,5,4047,0.962441314554,0.143068939956,0.249660574184
16,16,crab,29,4023,0.832411907395,0.632115336813,0.226461435696
17,17,crocodile,7,4045,0.929472011301,0.176266996292,0.261918094642
18,18,crocodile fish,3,4049,0.940726105211,0.081254630773,0.286788651129
19,19,deer,22,4030,0.96307241146,0.131017369727,0.251021816351
20,20,dog,23,4029,0.809414354625,0.811367585009,0.186124171062
21,21,dragonfly,15,4037,0.907604656923,0.388902650483,0.235600128977
22,22,duck,7,4045,0.988133498146,0.0336217552534,0.28283682744
23,23,fish,43,4009,0.679743832192,0.720878024445,0.219480391107
24,24,flounder,24,4028,0.898564217147,0.349801390268,0.249450072891
25,25,frog,44,4008,0.875260841952,0.319111776447,0.253551826715
26,26,frog fish,7,4045,0.913826593678,0.198022249691,0.253595960118
27,27,frogmouth,7,4045,0.951085996821,0.191100123609,0.257813901757
28,28,gecko,19,4033,0.842653372832,0.581948921398,0.237552565762
29,29,ghost pipefish,41,4011,0.892642793294,0.28047868362,0.245584021351
30,30,giraffe,9,4043,0.98400527661,0.0717289141726,0.260680108914
31,31,grasshopper,124,3928,0.876884731621,0.458757637475,0.239740251831
32,32,grouse,7,4045,0.973865442345,0.0756489493201,0.273885174822
33,33,heron,23,4029,0.979809425146,0.106229833706,0.247765904748
34,34,human,30,4022,0.7405851152,0.80482347091,0.205951918189
35,35,kangaroo,3,4049,0.981641557586,0.0496418868857,0.275863923946
36,36,katydid,129,3923,0.852256716996,0.531735916391,0.219887485287
37,37,leafy sea dragon,5,4047,0.994366197183,0.0150728935014,0.277424208887
38,38,leopard,22,4030,0.944371757275,0.14888337469,0.258263485914
39,39,lion,5,4047,0.993723745985,0.0224857919447,0.279564457224
40,40,lizard,77,3975,0.824213019685,0.510440251572,0.238717375471
41,41,mantis,62,3990,0.815817770232,0.551879699248,0.226474764976
42,42,mockingbird,14,4038,0.985831033751,0.087171867261,0.260504841446
43,43,monkey,2,4050,0.934814814815,0.126666666667,0.259672396626
44,44,moth,31,4021,0.920658478472,0.349664262621,0.254510623372
45,45,octopus,21,4031,0.903533330971,0.260729347556,0.262130093804
46,46,other,15,4037,0.389563207002,0.97944017835,0.194751278376
47,47,owl,71,3981,0.950564477041,0.207234363225,0.253492250504
48,48,owlfly,6,4046,0.532089306311,0.741720217499,0.210103285634
49,49,pagurian,6,4046,0.166831438458,0.974295600593,0.203694160988
50,50,pipefish,141,3911,0.88668984189,0.40271030427,0.240760300115
51,51,rabbit,17,4035,0.961615278081,0.158364312268,0.262968461381
52,52,reccoon,2,4050,0.621851851852,0.503703703704,0.233335590298
53,53,sciuridae,16,4036,0.71478567889,0.805004955401,0.223118963949
54,54,scorpion fish,47,4005,0.958578372779,0.0976279650437,0.283792476296
55,55,sea horse,55,3997,0.907476061592,0.353264948712,0.235521575263
56,56,sheep,1,4051,0.841520612195,0.158479387805,0.240430917977
57,57,shrimp,12,4040,0.76326320132,0.488861386139,0.245554979052
58,58,slug,2,4050,0.608518518519,0.765432098765,0.214578546644
59,59,snake,28,4024,0.789805808009,0.351888667992,0.25262053557
60,60,spider,120,3932,0.711622583927,0.711088504578,0.213846317064
61,61,star fish,9,4043,0.896693874186,0.478110314123,0.235758608417
62,62,stick insect,37,4015,0.919746895089,0.316811955168,0.247922114467
63,63,stingaree,9,4043,0.876164564267,0.48008904279,0.241452220991
64,64,tiger,16,4036,0.967867319128,0.318632309217,0.232685660059
65,65,toad,80,3972,0.912877643505,0.261581067472,0.258794408685
66,66,turtle,4,4048,0.716650197628,0.551630434783,0.22008977854
67,67,wolf,6,4046,0.959507332345,0.144587246663,0.258692878176
68,68,worm,11,4041,0.736991293784,0.479584261321,0.24577107733
69,69,no camouflaged animal,2026,2026,0.702105720403,0.843534057256,0.219730793008
