class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,ant,10,4042,0.780900544285,0.71128154379,0.162278922281
1,1,bat,13,4039,0.985659054983,0.0819509779648,0.215108959777
2,2,bat fish,4,4048,0.97628458498,0.0637351778656,0.230123372203
3,3,bee,11,4041,0.953904299116,0.138332096016,0.202086183652
4,4,beetle,3,4049,0.849839466535,0.339096073104,0.192097368484
5,5,bird,95,3957,0.82742375271,0.378822340157,0.184721269748
6,6,bittern,12,4040,0.96852310231,0.174504950495,0.207772189294
7,7,bug,22,4030,0.727464471013,0.561290322581,0.167026499477
8,8,butterfly,53,3999,0.935620697627,0.281820455114,0.195331595831
9,9,cat,107,3945,0.915595276169,0.277313054499,0.19093063991
10,10,caterpillar,39,4013,0.895602113643,0.345128332918,0.196921575729
11,11,centipede,3,4049,0.999670700585,0.000987898246481,0.248142356025
12,12,chameleon,28,4024,0.930648253337,0.250248508946,0.210393165878
13,13,cheetah,10,4042,0.960786739238,0.280306778822,0.177658034671
14,14,cicada,45,4007,0.943726256828,0.23633641128,0.212420592333
15,15,clown fish,5,4047,0.993328391401,0.025450951322,0.225518458729
16,16,crab,29,4023,0.962182965192,0.127268207805,0.228624875782
17,17,crocodile,7,4045,0.957372417447,0.128553770087,0.216065948951
18,18,crocodile fish,3,4049,0.994978183914,0.010372931588,0.275034897288
19,19,deer,22,4030,0.971960297767,0.0744416873449,0.214659281868
20,20,dog,23,4029,0.890144280057,0.36237279722,0.182201195759
21,21,dragonfly,15,4037,0.91886714557,0.289571463958,0.208536306856
22,22,duck,7,4045,0.995691329684,0.0160692212608,0.2373344639
23,23,fish,43,4009,0.777964695714,0.474183088052,0.189568953277
24,24,flounder,24,4028,0.994134806356,0.0178748758689,0.234784281663
25,25,frog,44,4008,0.901662583923,0.208083832335,0.221501350379
26,26,frog fish,7,4045,0.967049267173,0.109517923362,0.215645621276
27,27,frogmouth,7,4045,0.980116546,0.0912237330037,0.223186181676
28,28,gecko,19,4033,0.909013794093,0.364740887677,0.194866978502
29,29,ghost pipefish,41,4011,0.948282467118,0.176763899277,0.212027324091
30,30,giraffe,9,4043,0.998296094759,0.00346277516696,0.248753755818
31,31,grasshopper,124,3928,0.937321381644,0.30066191446,0.208857422263
32,32,grouse,7,4045,0.997633763023,0.00568603213844,0.259897491427
33,33,heron,23,4029,0.990665501203,0.0384710846364,0.228499946593
34,34,human,30,4022,0.469252444886,0.996270512183,0.137032808521
35,35,kangaroo,3,4049,0.997200954968,0.0049394912324,0.25266865604
36,36,katydid,129,3923,0.92530238091,0.294927351517,0.209579880697
37,37,leafy sea dragon,5,4047,0.991895231035,0.0336051396096,0.226007365904
38,38,leopard,22,4030,0.973302503948,0.0493796526055,0.236307119538
39,39,lion,5,4047,0.997479614529,0.00593031875463,0.256994325283
40,40,lizard,77,3975,0.927053826676,0.240251572327,0.209641502564
41,41,mantis,62,3990,0.930730050934,0.352130325815,0.203731016305
42,42,mockingbird,14,4038,0.977057241916,0.0874195146112,0.224360526334
43,43,monkey,2,4050,0.933333333333,0.0777777777778,0.217912658873
44,44,moth,31,4021,0.94654675855,0.173588659537,0.216683054022
45,45,octopus,21,4031,0.974247203223,0.0764078392458,0.226806277542
46,46,other,15,4037,0.386640244406,0.982412682685,0.151321263878
47,47,owl,71,3981,0.940980219423,0.190906807335,0.207551932613
48,48,owlfly,6,4046,0.852982369418,0.272367770638,0.201147708949
49,49,pagurian,6,4046,0.574064920086,0.561047948591,0.187404168381
50,50,pipefish,141,3911,0.956663420685,0.26719509077,0.217189002008
51,51,rabbit,17,4035,0.972738537794,0.140768277571,0.217919078018
52,52,reccoon,2,4050,0.975308641975,0.0437037037037,0.222339000668
53,53,sciuridae,16,4036,0.950709241824,0.300049554014,0.198123929274
54,54,scorpion fish,47,4005,0.960756501182,0.204744069913,0.197278142631
55,55,sea horse,55,3997,0.981022130234,0.131598699024,0.211813415474
56,56,sheep,1,4051,0.942483337448,0.0575166625525,0.210596556374
57,57,shrimp,12,4040,0.797545379538,0.675495049505,0.169567153049
58,58,slug,2,4050,0.713950617284,0.572098765432,0.175264561333
59,59,snake,28,4024,0.878106361829,0.2837972167,0.205906009427
60,60,spider,120,3932,0.915498897932,0.430824008138,0.187346967476
61,61,star fish,9,4043,0.979085937285,0.0603512243384,0.234033412292
62,62,stick insect,37,4015,0.92501093871,0.552428393524,0.175938950121
63,63,stingaree,9,4043,0.978701184489,0.0442740539204,0.228523828368
64,64,tiger,16,4036,0.963314544103,0.311942517344,0.183947715121
65,65,toad,80,3972,0.927977089627,0.287764350453,0.200777424064
66,66,turtle,4,4048,0.939043972332,0.115118577075,0.225928559358
67,67,wolf,6,4046,0.94797330697,0.0862580326248,0.216904500321
68,68,worm,11,4041,0.690558142674,0.587230883445,0.181689064643
69,69,no camouflaged animal,2026,2026,0.508048260082,0.98321816387,0.162025137765
