class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,ant,10,4042,0.602845126175,0.764225630876,0.227927675998
1,1,bat,13,4039,0.940522216085,0.416192126764,0.234287388392
2,2,bat fish,4,4048,0.916501976285,0.186264822134,0.25333581644
3,3,bee,11,4041,0.986232030775,0.0477604553328,0.265345793415
4,4,beetle,3,4049,0.807524491644,0.30797727834,0.252157869263
5,5,bird,95,3957,0.869249697405,0.305787212535,0.239855651991
6,6,bittern,12,4040,0.969863861386,0.100742574257,0.268961921237
7,7,bug,22,4030,0.539036769682,0.793796526055,0.211861075201
8,8,butterfly,53,3999,0.896724181045,0.462115528882,0.229955315441
9,9,cat,107,3945,0.876499295216,0.462864385298,0.21969003232
10,10,caterpillar,39,4013,0.86497089587,0.362571642163,0.249627310182
11,11,centipede,3,4049,0.952004610192,0.126204000988,0.269242254766
12,12,chameleon,28,4024,0.842072564612,0.539512922465,0.235235775967
13,13,cheetah,10,4042,0.966947055913,0.174666006927,0.245530281802
14,14,cicada,45,4007,0.928635998114,0.321687047667,0.249842128293
15,15,clown fish,5,4047,0.947417840376,0.17123795404,0.248172946102
16,16,crab,29,4023,0.878346061868,0.528709917972,0.237406721854
17,17,crocodile,7,4045,0.937029842839,0.240296662546,0.248955533912
18,18,crocodile fish,3,4049,0.978019264016,0.051370708817,0.291362971971
19,19,deer,22,4030,0.979472140762,0.0570719602978,0.261826705641
20,20,dog,23,4029,0.782090711904,0.849838669645,0.190348227118
21,21,dragonfly,15,4037,0.941226983734,0.199405499133,0.258425061354
22,22,duck,7,4045,0.992654070281,0.0215080346106,0.278800552899
23,23,fish,43,4009,0.72002529193,0.677725118483,0.220514667369
24,24,flounder,24,4028,0.921269860973,0.323982125124,0.249162345785
25,25,frog,44,4008,0.877115088006,0.284680638723,0.257040565213
26,26,frog fish,7,4045,0.925516510683,0.176266996292,0.266529803912
27,27,frogmouth,7,4045,0.980646300547,0.0946847960445,0.280080343069
28,28,gecko,19,4033,0.873882574027,0.488470121498,0.245574430208
29,29,ghost pipefish,41,4011,0.933639807602,0.163300922463,0.275453134884
30,30,giraffe,9,4043,0.989446780444,0.0563937670047,0.261077839703
31,31,grasshopper,124,3928,0.874191084686,0.494908350305,0.245021209169
32,32,grouse,7,4045,0.974430513862,0.0894932014833,0.264034841099
33,33,heron,23,4029,0.977510872263,0.122114668652,0.247022747172
34,34,human,30,4022,0.714337808719,0.938090502238,0.199442622886
35,35,kangaroo,3,4049,0.984111303202,0.0444554210916,0.269628447103
36,36,katydid,129,3923,0.880914977661,0.412949273515,0.248054380184
37,37,leafy sea dragon,5,4047,0.993427230047,0.0259451445515,0.280223381826
38,38,leopard,22,4030,0.970775998195,0.0977667493797,0.261419206228
39,39,lion,5,4047,0.994069681245,0.0145787002718,0.27732741992
40,40,lizard,77,3975,0.873789103978,0.430440251572,0.246373153279
41,41,mantis,62,3990,0.835116015846,0.515037593985,0.241490451235
42,42,mockingbird,14,4038,0.98876742376,0.0421000495295,0.270256912659
43,43,monkey,2,4050,0.933703703704,0.115555555556,0.256930561353
44,44,moth,31,4021,0.908328051921,0.341954737627,0.250896990975
45,45,octopus,21,4031,0.947797427083,0.247085090548,0.256516009934
46,46,other,15,4037,0.479894310957,0.999256873916,0.183609387901
47,47,owl,71,3981,0.957371458088,0.227581009797,0.2513363118
48,48,owlfly,6,4046,0.663453616741,0.72194760257,0.219852058776
49,49,pagurian,6,4046,0.265941670786,0.863321799308,0.218381748266
50,50,pipefish,141,3911,0.916016110226,0.365124009205,0.252039702971
51,51,rabbit,17,4035,0.976776732998,0.124411400248,0.26270466875
52,52,reccoon,2,4050,0.804814814815,0.256049382716,0.245928242166
53,53,sciuridae,16,4036,0.818911050545,0.715312190287,0.230988964337
54,54,scorpion fish,47,4005,0.963540255532,0.123096129838,0.286815026091
55,55,sea horse,55,3997,0.910473764414,0.336752564423,0.239012131842
56,56,sheep,1,4051,0.842754875339,0.157245124661,0.236517502209
57,57,shrimp,12,4040,0.722153465347,0.84702970297,0.217472773407
58,58,slug,2,4050,0.628024691358,0.713333333333,0.22504240633
59,59,snake,28,4024,0.845072422607,0.28851888668,0.251233295469
60,60,spider,120,3932,0.735050016955,0.778992878942,0.215144542707
61,61,star fish,9,4043,0.878610492758,0.611674499134,0.218663894142
62,62,stick insect,37,4015,0.91006697856,0.356911581569,0.248324458058
63,63,stingaree,9,4043,0.918075136725,0.612663863468,0.229895666664
64,64,tiger,16,4036,0.977809093162,0.212586719524,0.240457623605
65,65,toad,80,3972,0.92852152568,0.302114803625,0.254451403801
66,66,turtle,4,4048,0.769454051383,0.562747035573,0.219626653984
67,67,wolf,6,4046,0.964821222607,0.173010380623,0.2463414001
68,68,worm,11,4041,0.617398933657,0.67136847315,0.231095552807
69,69,no camouflaged animal,2026,2026,0.52447635331,0.952615992103,0.211109823673
