class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,ant,10,4042,0.518085106383,0.954477981197,-0.102160676924
1,1,bat,13,4039,0.325423276896,0.962862094578,-0.096900786229
2,2,bat fish,4,4048,0.0600296442688,0.989624505929,-0.110234562888
3,3,bee,11,4041,0.759915412477,0.736698836922,-0.078162765814
4,4,beetle,3,4049,0.596278916605,0.613237836503,-0.0766316108603
5,5,bird,95,3957,0.303507441842,0.97624462977,-0.100237223332
6,6,bittern,12,4040,0.31448019802,0.979702970297,-0.106577839955
7,7,bug,22,4030,0.445488382585,0.937965260546,-0.0844136946463
8,8,butterfly,53,3999,0.670842238862,0.778694673668,-0.0740200261368
9,9,cat,107,3945,0.648749748291,0.862610899873,-0.0860812925333
10,10,caterpillar,39,4013,0.384992364559,0.949663593322,-0.0921267233718
11,11,centipede,3,4049,0.443648637524,0.87503087182,-0.076109453166
12,12,chameleon,28,4024,0.787116586197,0.622017892644,-0.0769857519929
13,13,cheetah,10,4042,0.359772389906,0.986640277091,-0.130254201584
14,14,cicada,45,4007,0.584693453124,0.774893935613,-0.0978142492398
15,15,clown fish,5,4047,0.728737336298,0.565604151223,-0.0723896021235
16,16,crab,29,4023,0.319104802558,0.945563012677,-0.0878984176832
17,17,crocodile,7,4045,0.319936429454,0.986650185414,-0.0958853969321
18,18,crocodile fish,3,4049,0.51370708817,0.726846134848,-0.0687132851105
19,19,deer,22,4030,0.616704263478,0.913151364764,-0.0913849811211
20,20,dog,23,4029,0.629717159291,0.868205510052,-0.0797756896082
21,21,dragonfly,15,4037,0.647527041532,0.972008917513,-0.110231059593
22,22,duck,7,4045,0.402119018188,0.812360939431,-0.0852977101619
23,23,fish,43,4009,0.412374482995,0.98204040908,-0.101459308923
24,24,flounder,24,4028,0.277888116518,0.99180734856,-0.0941480030329
25,25,frog,44,4008,0.358844810379,0.955339321357,-0.0949619884202
26,26,frog fish,7,4045,0.33328624404,0.953522867738,-0.0962825557079
27,27,frogmouth,7,4045,0.336711990111,0.844746600742,-0.0839939720237
28,28,gecko,19,4033,0.465945423937,0.979915695512,-0.105717741662
29,29,ghost pipefish,41,4011,0.252482502387,0.99127399651,-0.0976255717091
30,30,giraffe,9,4043,0.709841426883,0.681177343557,-0.0732357310614
31,31,grasshopper,124,3928,0.684116516655,0.790224032587,-0.0880197389948
32,32,grouse,7,4045,0.254917888045,0.96044499382,-0.0944524642497
33,33,heron,23,4029,0.304164373509,0.98808637379,-0.0994110981174
34,34,human,30,4022,0.608925907509,0.955992043759,-0.0952896563261
35,35,kangaroo,3,4049,0.421420926978,0.974314645592,-0.111534580832
36,36,katydid,129,3923,0.400231589888,0.967117002294,-0.11473131999
37,37,leafy sea dragon,5,4047,0.3468248085,0.864591055103,-0.0876022615783
38,38,leopard,22,4030,0.279709000677,0.985359801489,-0.103935858357
39,39,lion,5,4047,0.544946874228,0.784531751915,-0.077148519541
40,40,lizard,77,3975,0.497149391489,0.918993710692,-0.0874005635874
41,41,mantis,62,3990,0.657914948662,0.68045112782,-0.0618899551056
42,42,mockingbird,14,4038,0.505625132668,0.967062902427,-0.108804257283
43,43,monkey,2,4050,0.583086419753,0.742222222222,-0.0761007297658
44,44,moth,31,4021,0.667551804639,0.796568017906,-0.0855523091594
45,45,octopus,21,4031,0.411028812418,0.888613247333,-0.0795489096969
46,46,other,15,4037,0.527784658575,0.902155065643,-0.0794615227866
47,47,owl,71,3981,0.469844437133,0.877920120573,-0.0875188674341
48,48,owlfly,6,4046,0.652125556105,0.649777558082,-0.0855212499487
49,49,pagurian,6,4046,0.466716098204,0.968858131488,-0.096200629568
50,50,pipefish,141,3911,0.428995504587,0.952697519816,-0.0947972059524
51,51,rabbit,17,4035,0.381062759676,0.986617100372,-0.10518623823
52,52,reccoon,2,4050,0.693086419753,0.567160493827,-0.0621871469438
53,53,sciuridae,16,4036,0.721351585728,0.849603567889,-0.10600535562
54,54,scorpion fish,47,4005,0.298552341488,0.993508114856,-0.136999165446
55,55,sea horse,55,3997,0.493279050197,0.932699524643,-0.104095673184
56,56,sheep,1,4051,0.722537645026,0.277462354974,-0.0569959956119
57,57,shrimp,12,4040,0.526010726073,0.901237623762,-0.0862914488334
58,58,slug,2,4050,0.543456790123,0.692345679012,-0.0841345320989
59,59,snake,28,4024,0.396114385118,0.941600397614,-0.0938911417912
60,60,spider,120,3932,0.449118345202,0.903611393693,-0.0853097036156
61,61,star fish,9,4043,0.578640723335,0.767746722731,-0.0874898843185
62,62,stick insect,37,4015,0.427659789304,0.85902864259,-0.0823264694059
63,63,stingaree,9,4043,0.120537554621,0.999752658917,-0.150490428919
64,64,tiger,16,4036,0.347094895937,0.965312190287,-0.0927196632223
65,65,toad,80,3972,0.318397532729,0.973816717019,-0.0990824601621
66,66,turtle,4,4048,0.208436264822,0.999752964427,-0.136495681004
67,67,wolf,6,4046,0.572005272697,0.890261987148,-0.0931361423044
68,68,worm,11,4041,0.570335875458,0.779757485771,-0.0908343505938
69,69,no camouflaged animal,2026,2026,0.583453115423,0.882033563672,-0.0846681237585
