class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,ant,10,4042,0.88033151905,0.358733300346,0.337883977277
1,1,bat,13,4039,0.995771992306,0.0220351572171,0.236566620511
2,2,bat fish,4,4048,0.914958003953,0.195652173913,0.451105889109
3,3,bee,11,4041,0.990731367123,0.0722593417471,0.330075005521
4,4,beetle,3,4049,0.921873713674,0.142504322055,0.271656194679
5,5,bird,95,3957,0.879991487437,0.278493808441,0.285112418737
6,6,bittern,12,4040,0.951278877888,0.196287128713,0.388678170312
7,7,bug,22,4030,0.763151364764,0.574441687345,0.191717380307
8,8,butterfly,53,3999,0.93093556408,0.279069767442,0.266713742227
9,9,cat,107,3945,0.954518318468,0.337135614702,0.130137991784
10,10,caterpillar,39,4013,0.818187045947,0.78818838774,0.242255903363
11,11,centipede,3,4049,0.993660986252,0.0190170412448,0.318556063605
12,12,chameleon,28,4024,0.935041536495,0.359343936382,0.29060733506
13,13,cheetah,10,4042,0.998416625433,0.00667986145473,0.435474016329
14,14,cicada,45,4007,0.96297590328,0.142251060644,0.414827185802
15,15,clown fish,5,4047,0.978206078577,0.0686928589078,0.435753599255
16,16,crab,29,4023,0.961677252351,0.229679343773,0.345979632985
17,17,crocodile,7,4045,0.994914356348,0.031891223733,0.353584765214
18,18,crocodile fish,3,4049,0.998600477484,0.00271672017782,0.525771918669
19,19,deer,22,4030,0.99467629145,0.0399503722084,0.350676899758
20,20,dog,23,4029,0.934496638501,0.402333085133,0.110385245967
21,21,dragonfly,15,4037,0.930641565519,0.14292791677,0.391597490615
22,22,duck,7,4045,0.996892106657,0.0185414091471,0.319709156037
23,23,fish,43,4009,0.858724845841,0.265153404839,0.266628923492
24,24,flounder,24,4028,0.990390185369,0.0317775571003,0.285923173562
25,25,frog,44,4008,0.954193884957,0.180888223553,0.228460896413
26,26,frog fish,7,4045,0.953628818647,0.153275648949,0.374185593016
27,27,frogmouth,7,4045,0.99819883454,0.00593325092707,0.554828677878
28,28,gecko,19,4033,0.885301525572,0.342424993801,0.289164101633
29,29,ghost pipefish,41,4011,0.992411113341,0.0254300673149,0.540679051914
30,30,giraffe,9,4043,0.982713606508,0.155330200346,0.243597470225
31,31,grasshopper,124,3928,0.925103475462,0.307281059063,0.244561686166
32,32,grouse,7,4045,0.993254458767,0.0140914709518,0.446569551722
33,33,heron,23,4029,0.99344966385,0.0409530900968,0.423216887307
34,34,human,30,4022,0.68835571026,0.839383391348,0.149328863812
35,35,kangaroo,3,4049,1,0,0.42495858541
36,36,katydid,129,3923,0.933083959239,0.37981136885,0.350239778166
37,37,leafy sea dragon,5,4047,0.989523103533,0.0242154682481,0.519143179596
38,38,leopard,22,4030,0.996232799459,0.00521091811414,0.413272695451
39,39,lion,5,4047,0.999851742031,0.000247096614776,0.375586737701
40,40,lizard,77,3975,0.938237360124,0.289308176101,0.300035702932
41,41,mantis,62,3990,0.946309321691,0.289223057644,0.378813584088
42,42,mockingbird,14,4038,0.999911554518,0.000247647350173,0.48356941589
43,43,monkey,2,4050,0.949012345679,0.0659259259259,0.272528049338
44,44,moth,31,4021,0.877706556706,0.381994528724,0.259593799101
45,45,octopus,21,4031,0.99118734569,0.0441577772265,0.408200815406
46,46,other,15,4037,0.455734456279,0.968788704484,0.0976024252451
47,47,owl,71,3981,0.992779080916,0.0246169304195,0.316090625009
48,48,owlfly,6,4046,0.855783489867,0.402125556105,0.179980533898
49,49,pagurian,6,4046,0.969723183391,0.0781018289669,0.350877227831
50,50,pipefish,141,3911,0.980442505318,0.0787522372795,0.497307631904
51,51,rabbit,17,4035,0.998396384576,0.00495662949195,0.327055481785
52,52,reccoon,2,4050,0.966296296296,0.0669135802469,0.229137901456
53,53,sciuridae,16,4036,0.990321481665,0.0735877106046,0.214635977065
54,54,scorpion fish,47,4005,0.943820224719,0.167041198502,0.456157464957
55,55,sea horse,55,3997,0.982982691564,0.0893169877408,0.343706949212
56,56,sheep,1,4051,0.936312021723,0.063687978277,0.29185918854
57,57,shrimp,12,4040,0.867079207921,0.525247524752,0.269445782068
58,58,slug,2,4050,0.805679012346,0.388395061728,0.260067798085
59,59,snake,28,4024,0.958277122976,0.227385685885,0.294001243949
60,60,spider,120,3932,0.934043319769,0.340539165819,0.245015832322
61,61,star fish,9,4043,0.996207436722,0.0249814494187,0.407614287243
62,62,stick insect,37,4015,0.940278011511,0.67696139477,0.354276792803
63,63,stingaree,9,4043,0.996894495287,0.0153351471679,0.398350228572
64,64,tiger,16,4036,0.981928270565,0.277006937562,0.248502588042
65,65,toad,80,3972,0.965625,0.18026183283,0.301971340667
66,66,turtle,4,4048,0.955657114625,0.17243083004,0.276105395457
67,67,wolf,6,4046,0.972112374362,0.085516559565,0.227771051679
68,68,worm,11,4041,0.703966164991,0.830982430092,0.204280082404
69,69,no camouflaged animal,2026,2026,0.566828051715,0.922507403751,0.258026824148
