class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,ant,10,4042,0.650049480455,0.831024245423,0.191844706726
1,1,bat,13,4039,0.949568628945,0.32136667492,0.200629840372
2,2,bat fish,4,4048,0.908164525692,0.193428853755,0.221447676612
3,3,bee,11,4041,0.992913545252,0.0524622618164,0.242151453247
4,4,beetle,3,4049,0.877171318021,0.325018523092,0.222248248808
5,5,bird,95,3957,0.851296170677,0.404599444023,0.197501142995
6,6,bittern,12,4040,0.953403465347,0.139603960396,0.243706125676
7,7,bug,22,4030,0.67027972028,0.7317617866,0.201962918123
8,8,butterfly,53,3999,0.894813325973,0.466616654164,0.207860281134
9,9,cat,107,3945,0.967900927472,0.221292775665,0.197568316905
10,10,caterpillar,39,4013,0.827982134984,0.710690256666,0.205252548289
11,11,centipede,3,4049,0.998271178069,0.00419856754754,0.258153508585
12,12,chameleon,28,4024,0.862201789264,0.588469184891,0.208590681797
13,13,cheetah,10,4042,0.990153389411,0.0776843146957,0.227227169296
14,14,cicada,45,4007,0.937747830186,0.331420014974,0.225535325098
15,15,clown fish,5,4047,0.974054855448,0.0810476896467,0.240484666196
16,16,crab,29,4023,0.891666023811,0.421078796918,0.201370730206
17,17,crocodile,7,4045,0.971675790217,0.0894932014833,0.228023222683
18,18,crocodile fish,3,4049,0.915452375072,0.118794764139,0.244340476356
19,19,deer,22,4030,0.964549966163,0.200992555831,0.207512442655
20,20,dog,23,4029,0.937593749663,0.281211218665,0.19834909617
21,21,dragonfly,15,4037,0.924663529023,0.352241763686,0.224444209823
22,22,duck,7,4045,0.977149920537,0.0677379480841,0.221485249753
23,23,fish,43,4009,0.779878993196,0.52955849339,0.198614660174
24,24,flounder,24,4028,0.966484607746,0.0804369414101,0.243837763493
25,25,frog,44,4008,0.901656913446,0.336576846307,0.212083449233
26,26,frog fish,7,4045,0.876885043263,0.356983930779,0.21300340028
27,27,frogmouth,7,4045,0.96761433869,0.0988875154512,0.252892499761
28,28,gecko,19,4033,0.828324219922,0.668237044384,0.201114842882
29,29,ghost pipefish,41,4011,0.898504721771,0.255547245076,0.235311367404
30,30,giraffe,9,4043,0.98040508973,0.144199851595,0.203612201562
31,31,grasshopper,124,3928,0.866040339005,0.517311608961,0.216444991397
32,32,grouse,7,4045,0.984637118135,0.0529048207664,0.252854262154
33,33,heron,23,4029,0.992068373855,0.0404566890047,0.242283567889
34,34,human,30,4022,0.751326040113,0.704873197414,0.193053131765
35,35,kangaroo,3,4049,0.997283279822,0.00815016053347,0.247116462952
36,36,katydid,129,3923,0.84814263724,0.600305888351,0.193372597234
37,37,leafy sea dragon,5,4047,0.997183098592,0.0084012849024,0.273571390608
38,38,leopard,22,4030,0.983600270697,0.0501240694789,0.247378753932
39,39,lion,5,4047,0.998468000988,0.0042006424512,0.257880092952
40,40,lizard,77,3975,0.889906068774,0.352704402516,0.226028863425
41,41,mantis,62,3990,0.821780257094,0.521052631579,0.215228634383
42,42,mockingbird,14,4038,0.994604825586,0.0475482912333,0.245220097707
43,43,monkey,2,4050,0.991975308642,0.0130864197531,0.239500360926
44,44,moth,31,4021,0.917072466326,0.356876398906,0.220423890964
45,45,octopus,21,4031,0.944820498281,0.123046390474,0.231305885477
46,46,other,15,4037,0.534357195938,0.908843200396,0.183490418654
47,47,owl,71,3981,0.976925607905,0.146948003014,0.217353386377
48,48,owlfly,6,4046,0.497940352612,0.712555610479,0.209808430962
49,49,pagurian,6,4046,0.220753007085,0.951804251112,0.198566958654
50,50,pipefish,141,3911,0.927061515892,0.252109434927,0.236892922533
51,51,rabbit,17,4035,0.961265398353,0.23990086741,0.209099389014
52,52,reccoon,2,4050,0.936049382716,0.10049382716,0.199711956488
53,53,sciuridae,16,4036,0.698045713578,0.731912784936,0.202027067258
54,54,scorpion fish,47,4005,0.953717427683,0.147815230961,0.255476149984
55,55,sea horse,55,3997,0.948634202925,0.169377032775,0.220444093058
56,56,sheep,1,4051,0.890644285362,0.109355714638,0.216392231602
57,57,shrimp,12,4040,0.862603135314,0.513613861386,0.199745523111
58,58,slug,2,4050,0.836172839506,0.321975308642,0.215159179903
59,59,snake,28,4024,0.864331865947,0.428926441352,0.214162657565
60,60,spider,120,3932,0.762177856901,0.778229908444,0.180745699213
61,61,star fish,9,4043,0.92555033391,0.446203314371,0.201052095013
62,62,stick insect,37,4015,0.904776008886,0.292652552927,0.229765503048
63,63,stingaree,9,4043,0.977052243933,0.129359386594,0.245795893173
64,64,tiger,16,4036,0.971583870168,0.35728444004,0.19782360659
65,65,toad,80,3972,0.950154204431,0.227089627392,0.227022675381
66,66,turtle,4,4048,0.888772233202,0.294219367589,0.207237160924
67,67,wolf,6,4046,0.898418190806,0.376421156698,0.193240926079
68,68,worm,11,4041,0.852759218015,0.370700321703,0.21570186735
69,69,no camouflaged animal,2026,2026,0.656734782477,0.868213228036,0.20188551074
