class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.967728055077,0.0413080895009,0.151371676254
1,1,BatFish,2,1162,0.844664371773,0.172117039587,0.156731190858
2,2,Butterflyfish,6,1158,0.741508347726,0.587219343696,0.0964779030373
3,3,ClownFish,12,1152,0.978587962963,0.206597222222,0.140275141829
4,4,Conch,19,1145,0.758032636176,0.896069868996,0.048176005045
5,5,Crab,15,1149,0.293530606324,0.927763272411,0.0143096647473
6,6,CrocodileFish,3,1161,0.898937697387,0.255813953488,0.160058433911
7,7,CuttleFish,1,1163,0.81943250215,0.18056749785,0.14184522395
8,8,Dolphin,9,1155,0.713900913901,0.880519480519,0.0365582851795
9,9,Fish,86,1078,0.423021745696,0.930426716141,0.0251226351837
10,10,Flounder,11,1153,0.692817156824,0.746747614918,0.065780896706
11,11,FrogFish,3,1161,0.877691645134,0.226528854436,0.141242523668
12,12,GhostPipeFish,23,1141,0.912471897268,0.349693251534,0.153744995298
13,13,Grouper,93,1071,0.787707197574,0.63025210084,0.0996161131085
14,14,JellyFish,18,1146,0.966307930968,0.186736474695,0.123099026165
15,15,LeafySeaDragon,3,1161,0.869078380706,0.392764857881,0.129496416095
16,16,MantaRay,7,1157,0.988146684776,0.0458081244598,0.20080062526
17,17,MorayEel,8,1156,0.781466262976,0.482698961938,0.116503098696
18,18,Octopus,17,1147,0.789681522129,0.914559721011,0.00879424536994
19,19,Pagurian,1,1163,0.769561478934,0.230438521066,0.140093146284
20,20,PipeFish,78,1086,0.743955706663,0.626151012891,0.0791401366618
21,21,Piranha,2,1162,0.999569707401,0.000860585197935,0.226489502935
22,22,RatFish,1,1163,0.816852966466,0.183147033534,0.1624768328
23,23,ScorpionFish,23,1141,0.699729451663,0.588957055215,0.0797392978582
24,24,SeaHorse,30,1134,0.830305702528,0.507936507937,0.0978210448689
25,25,Seal,7,1157,0.472527472527,0.939498703544,0.0258987126799
26,26,Shark,6,1158,0.691134139321,0.533678756477,0.102811233743
27,27,Shrimp,16,1148,0.504028745645,0.973867595819,-0.00987363076741
28,28,Slug,2,1162,0.726764199656,0.501721170396,0.0582485851482
29,29,StarFish,20,1144,0.77972027972,0.715034965035,0.0725020755442
30,30,Stingaree,11,1153,0.779232042892,0.542931483088,0.0817299817014
31,31,SurgeonFish,7,1157,0.694777132979,0.560933448574,0.0888498453588
32,32,Turtle,40,1124,0.577513345196,0.898576512456,1.59947201427e-06
33,33,no camouflaged animal,582,582,0.581696307318,0.936426116838,-0.0477872451936
