class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.752151462995,0.404475043029,0.417308430746
1,1,BatFish,2,1162,0.925989672978,0.116179001721,0.50950978467
2,2,Butterflyfish,6,1158,0.979994242948,0.0587219343696,0.528938235686
3,3,ClownFish,12,1152,0.986617476852,0.0598958333333,0.433065626092
4,4,Conch,19,1145,0.827441967364,0.602620087336,0.319750814121
5,5,Crab,15,1149,0.925732521033,0.74499564839,0.324835533358
6,6,CrocodileFish,3,1161,0.925638817112,0.129198966408,0.495472633428
7,7,CuttleFish,1,1163,1,0,0.589149166084
8,8,Dolphin,9,1155,0.991438191438,0.0268398268398,0.395237087787
9,9,Fish,86,1078,0.655374940674,0.852504638219,0.297192963245
10,10,Flounder,11,1153,0.913033194039,0.295750216826,0.425599282886
11,11,FrogFish,3,1161,0.993970714901,0.0172265288544,0.62656676501
12,12,GhostPipeFish,23,1141,0.958350798308,0.117440841367,0.531142608749
13,13,Grouper,93,1071,0.552714275674,0.675070028011,0.423791518606
14,14,JellyFish,18,1146,0.797847585806,0.653577661431,0.343875457843
15,15,LeafySeaDragon,3,1161,0.972724662647,0.0568475452196,0.55921499842
16,16,MantaRay,7,1157,0.999012223731,0.00259291270527,0.58705740705
17,17,MorayEel,8,1156,0.999459342561,0.000865051903114,0.581709445732
18,18,Octopus,17,1147,0.941432893995,0.265039232781,0.432511525194
19,19,Pagurian,1,1163,0.933791917455,0.0662080825451,0.488085046514
20,20,PipeFish,78,1086,0.976814468527,0.124309392265,0.48682099273
21,21,Piranha,2,1162,0.999569707401,0.000860585197935,0.536337658436
22,22,RatFish,1,1163,0.957007738607,0.0429922613929,0.510293768232
23,23,ScorpionFish,23,1141,0.921579087757,0.19018404908,0.524994219093
24,24,SeaHorse,30,1134,0.919106407995,0.491181657848,0.345308165733
25,25,Seal,7,1157,0.989875293246,0.0587726879862,0.430528044438
26,26,Shark,6,1158,0.987190558434,0.0768566493955,0.399473954699
27,27,Shrimp,16,1148,0.848867595819,0.507839721254,0.388413523239
28,28,Slug,2,1162,0.867039586919,0.145438898451,0.344606338531
29,29,StarFish,20,1144,0.946722027972,0.101398601399,0.39492722003
30,30,Stingaree,11,1153,0.794212725696,0.59236773634,0.423370592553
31,31,SurgeonFish,7,1157,0.984319051735,0.0267934312878,0.522043623422
32,32,Turtle,40,1124,0.970929715302,0.0925266903915,0.330480214735
33,33,no camouflaged animal,582,582,0.660226319954,0.890034364261,0.330780054138
