class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.984509466437,0.025817555938,0.298178273868
1,1,BatFish,2,1162,0.638123924269,0.483648881239,0.218427994486
2,2,Butterflyfish,6,1158,0.950633275763,0.179620034542,0.206272699024
3,3,ClownFish,12,1152,0.985243055556,0.150173611111,0.213155085924
4,4,Conch,19,1145,0.865042518961,0.324017467249,0.228002786099
5,5,Crab,15,1149,0.923411662315,0.23498694517,0.228380916307
6,6,CrocodileFish,3,1161,0.68446741315,0.8165374677,0.201489721668
7,7,CuttleFish,1,1163,0.966466036113,0.0335339638865,0.297414674947
8,8,Dolphin,9,1155,0.997691197691,0.012987012987,0.254160973137
9,9,Fish,86,1078,0.808932346723,0.679035250464,0.208218418913
10,10,Flounder,11,1153,0.863833477884,0.429314830876,0.242501192617
11,11,FrogFish,3,1161,0.984209015217,0.0387596899225,0.280700981075
12,12,GhostPipeFish,23,1141,0.935868612582,0.125328659071,0.272959526711
13,13,Grouper,93,1071,0.960834513017,0.159663865546,0.258195154157
14,14,JellyFish,18,1146,0.916375799884,0.584642233857,0.173671161763
15,15,LeafySeaDragon,3,1161,0.994544932529,0.015503875969,0.279294408665
16,16,MantaRay,7,1157,0.988764044944,0.0509939498704,0.25468006533
17,17,MorayEel,8,1156,0.986051038062,0.0415224913495,0.280728962257
18,18,Octopus,17,1147,0.890814913585,0.428073234525,0.229106647593
19,19,Pagurian,1,1163,0.184006878762,0.815993121238,0.181647395671
20,20,PipeFish,78,1086,0.945577749445,0.253222836096,0.214450605947
21,21,Piranha,2,1162,0.997848537005,0.00344234079174,0.306051557919
22,22,RatFish,1,1163,0.950128976784,0.0498710232158,0.301776735117
23,23,ScorpionFish,23,1141,0.944213695081,0.259421560035,0.259278387305
24,24,SeaHorse,30,1134,0.920693709583,0.544091710758,0.183757509405
25,25,Seal,7,1157,0.99691319916,0.00864304235091,0.247728706387
26,26,Shark,6,1158,0.984887737478,0.0474956822107,0.2484316795
27,27,Shrimp,16,1148,0.849956445993,0.738675958188,0.180840199153
28,28,Slug,2,1162,0.757745266781,0.350258175559,0.194745978847
29,29,StarFish,20,1144,0.967744755245,0.201923076923,0.238294810796
30,30,Stingaree,11,1153,0.918552392967,0.1908065915,0.255170338924
31,31,SurgeonFish,7,1157,0.940116063712,0.404494382022,0.17087571396
32,32,Turtle,40,1124,0.972419928826,0.194839857651,0.200917711895
33,33,no camouflaged animal,582,582,0.776559972131,0.737113402062,0.15847266706
