class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.822289156627,0.328743545611,0.197480372849
1,1,BatFish,2,1162,0.95395869191,0.052495697074,0.250163197286
2,2,Butterflyfish,6,1158,0.897380541163,0.294473229706,0.205911390141
3,3,ClownFish,12,1152,0.978153935185,0.131076388889,0.22371083107
4,4,Conch,19,1145,0.8601241094,0.568558951965,0.187637715017
5,5,Crab,15,1149,0.981607194662,0.0548302872063,0.243231330961
6,6,CrocodileFish,3,1161,0.809646856158,0.369509043928,0.213268901344
7,7,CuttleFish,1,1163,1,0,0.291552760343
8,8,Dolphin,9,1155,0.980278980279,0.0363636363636,0.223504630694
9,9,Fish,86,1078,0.677681537731,0.694805194805,0.196803495974
10,10,Flounder,11,1153,0.931167704802,0.389418907199,0.193985961724
11,11,FrogFish,3,1161,0.92621303474,0.154177433247,0.2432669118
12,12,GhostPipeFish,23,1141,0.936745036772,0.255039439089,0.22296981976
13,13,Grouper,93,1071,0.634288123852,0.683473389356,0.194433223587
14,14,JellyFish,18,1146,0.89417296878,0.716404886562,0.164080671123
15,15,LeafySeaDragon,3,1161,0.987367212173,0.021533161068,0.242330193517
16,16,MantaRay,7,1157,0.971107544141,0.108902333621,0.22703741751
17,17,MorayEel,8,1156,0.982698961938,0.0951557093426,0.236470508413
18,18,Octopus,17,1147,0.965587978871,0.122057541412,0.232106878423
19,19,Pagurian,1,1163,0.869303525365,0.130696474635,0.211150773569
20,20,PipeFish,78,1086,0.94124521887,0.286372007366,0.223846797943
21,21,Piranha,2,1162,0.999569707401,0.000860585197935,0.25538041625
22,22,RatFish,1,1163,0.953568357696,0.0464316423044,0.253484168945
23,23,ScorpionFish,23,1141,0.90328849598,0.601226993865,0.19695770977
24,24,SeaHorse,30,1134,0.92771898883,0.377425044092,0.203805898037
25,25,Seal,7,1157,0.942338560316,0.152981849611,0.193310646276
26,26,Shark,6,1158,0.912204951065,0.258203799655,0.204817196243
27,27,Shrimp,16,1148,0.826763937282,0.718641114983,0.166783283231
28,28,Slug,2,1162,0.576161790017,0.569707401033,0.152865535336
29,29,StarFish,20,1144,0.943444055944,0.191433566434,0.212866040829
30,30,Stingaree,11,1153,0.88851218166,0.310494362533,0.19636794306
31,31,SurgeonFish,7,1157,0.948759106062,0.151253241141,0.219669256247
32,32,Turtle,40,1124,0.937611209964,0.300711743772,0.192556358569
33,33,no camouflaged animal,582,582,0.599232708636,0.926116838488,0.165287138647
