class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.870481927711,0.2082616179,0.259096802593
1,1,BatFish,2,1162,0.7917383821,0.315834767642,0.270326320807
2,2,Butterflyfish,6,1158,0.949625791595,0.188255613126,0.262741130595
3,3,ClownFish,12,1152,0.935112847222,0.592013888889,0.241230452643
4,4,Conch,19,1145,0.64693173983,0.834934497817,0.228885131439
5,5,Crab,15,1149,0.949695387293,0.34725848564,0.249915096623
6,6,CrocodileFish,3,1161,0.749066896354,0.511627906977,0.263691140654
7,7,CuttleFish,1,1163,0.944110060189,0.0558899398108,0.288419288703
8,8,Dolphin,9,1155,0.988744588745,0.030303030303,0.257209949155
9,9,Fish,86,1078,0.6970434051,0.692022263451,0.230616322378
10,10,Flounder,11,1153,0.844516281637,0.470945359931,0.256571008557
11,11,FrogFish,3,1161,0.960378983635,0.0809646856158,0.303069387588
12,12,GhostPipeFish,23,1141,0.868422055405,0.336546888694,0.271213014223
13,13,Grouper,93,1071,0.630001104384,0.71335200747,0.243799938771
14,14,JellyFish,18,1146,0.929561760714,0.363001745201,0.245187978201
15,15,LeafySeaDragon,3,1161,0.994544932529,0.00689061154177,0.312893001342
16,16,MantaRay,7,1157,0.954315347574,0.13915298185,0.2610775981
17,17,MorayEel,8,1156,0.972967128028,0.0934256055363,0.286400653497
18,18,Octopus,17,1147,0.862813477614,0.834350479512,0.233901335444
19,19,Pagurian,1,1163,0.690455717971,0.309544282029,0.232956711538
20,20,PipeFish,78,1086,0.908072437078,0.580110497238,0.242613350987
21,21,Piranha,2,1162,0.997418244406,0.0025817555938,0.286602900952
22,22,RatFish,1,1163,0.928632846088,0.0713671539123,0.276433123612
23,23,ScorpionFish,23,1141,0.914682010441,0.273444347064,0.293454742599
24,24,SeaHorse,30,1134,0.855702527925,0.417989417989,0.252175542073
25,25,Seal,7,1157,0.970984072108,0.151253241141,0.239469781753
26,26,Shark,6,1158,0.946171560161,0.140759930915,0.249929753896
27,27,Shrimp,16,1148,0.790777439024,0.699477351916,0.235316337898
28,28,Slug,2,1162,0.503872633391,0.699655765921,0.203412799017
29,29,StarFish,20,1144,0.957342657343,0.147727272727,0.274535269307
30,30,Stingaree,11,1153,0.73586690846,0.740676496097,0.243517628851
31,31,SurgeonFish,7,1157,0.91628596123,0.233362143475,0.268483862714
32,32,Turtle,40,1124,0.958629893238,0.207295373665,0.234340728966
33,33,no camouflaged animal,582,582,0.574669937766,0.898625429553,0.200515938687
