class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.18760757315,0.965576592083,-0.0938500065085
1,1,BatFish,2,1162,0.370051635112,0.760757314974,-0.0631413216372
2,2,Butterflyfish,6,1158,0.756188831318,0.518134715026,-0.0498096641993
3,3,ClownFish,12,1152,0.711733217593,0.771701388889,-0.0719790553744
4,4,Conch,19,1145,0.470282693634,0.856768558952,-0.0714088941255
5,5,Crab,15,1149,0.191470844212,0.993907745866,-0.0804215875069
6,6,CrocodileFish,3,1161,0.64656904967,0.562446167097,-0.0426895639851
7,7,CuttleFish,1,1163,0.64660361135,0.35339638865,-0.0508909296033
8,8,Dolphin,9,1155,0.493795093795,0.838095238095,-0.0281049870855
9,9,Fish,86,1078,0.55688829443,0.924860853432,-0.0502334998102
10,10,Flounder,11,1153,0.420168729796,0.952298352125,-0.0727696519306
11,11,FrogFish,3,1161,0.204708584554,0.967269595177,-0.101666739441
12,12,GhostPipeFish,23,1141,0.238425484891,0.985100788782,-0.0851199438435
13,13,Grouper,93,1071,0.436864351475,0.883286647993,-0.0931315129125
14,14,JellyFish,18,1146,0.32979445414,0.969458987784,-0.0850430652781
15,15,LeafySeaDragon,3,1161,0.4576514499,0.678725236865,-0.0821925110702
16,16,MantaRay,7,1157,0.517224348685,0.804667242869,-0.0802734546345
17,17,MorayEel,8,1156,0.4410683391,0.840830449827,-0.104304265737
18,18,Octopus,17,1147,0.472588337863,0.943330427201,-0.0449377248163
19,19,Pagurian,1,1163,0.524505588994,0.475494411006,-0.0514339638429
20,20,PipeFish,78,1086,0.618253293668,0.872007366483,-0.0792131281517
21,21,Piranha,2,1162,0.134251290878,0.890705679862,-0.0791598330493
22,22,RatFish,1,1163,0.306964746346,0.693035253654,-0.0730896445558
23,23,ScorpionFish,23,1141,0.45985596159,0.977212971078,-0.107831016769
24,24,SeaHorse,30,1134,0.589182833627,0.904761904762,-0.0887938719521
25,25,Seal,7,1157,0.269786393382,0.987035436474,-0.0762680582563
26,26,Shark,6,1158,0.795624640184,0.511226252159,-0.0373363400057
27,27,Shrimp,16,1148,0.436520034843,0.915505226481,-0.0706020906341
28,28,Slug,2,1162,0.195352839931,0.987951807229,-0.0952859369908
29,29,StarFish,20,1144,0.427622377622,0.898601398601,-0.081357852932
30,30,Stingaree,11,1153,0.319009698021,0.998265394623,-0.127969106942
31,31,SurgeonFish,7,1157,0.728361526114,0.596369922213,-0.0542068248816
32,32,Turtle,40,1124,0.379515124555,0.992882562278,-0.0783636732675
33,33,no camouflaged animal,582,582,0.587575725369,0.890034364261,-0.0693282081294
