class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.892426850258,0.182444061962,0.447353145034
1,1,BatFish,2,1162,0.979776247849,0.0327022375215,0.505965662486
2,2,Butterflyfish,6,1158,0.980569948187,0.0673575129534,0.500356575799
3,3,ClownFish,12,1152,0.99095775463,0.0807291666667,0.45993399708
4,4,Conch,19,1145,0.869179498966,0.604366812227,0.315147845167
5,5,Crab,15,1149,0.948418914999,0.474325500435,0.347473677676
6,6,CrocodileFish,3,1161,0.970140683319,0.062015503876,0.46817647134
7,7,CuttleFish,1,1163,1,0,0.573418353997
8,8,Dolphin,9,1155,0.998653198653,0.00779220779221,0.364860420999
9,9,Fish,86,1078,0.648428398844,0.789424860853,0.283113749942
10,10,Flounder,11,1153,0.932586927383,0.31830008673,0.257784395684
11,11,FrogFish,3,1161,0.981337927074,0.0559862187769,0.56457914927
12,12,GhostPipeFish,23,1141,0.977289181877,0.103418054338,0.527263639639
13,13,Grouper,93,1071,0.67427687921,0.574229691877,0.32754542898
14,14,JellyFish,18,1146,0.931258483615,0.339441535777,0.366019123658
15,15,LeafySeaDragon,3,1161,0.989951191502,0.0206718346253,0.572369073809
16,16,MantaRay,7,1157,0.999012223731,0.00259291270527,0.550807442138
17,17,MorayEel,8,1156,0.999351211073,0.00173010380623,0.620920060747
18,18,Octopus,17,1147,0.97528078363,0.355710549259,0.373010693926
19,19,Pagurian,1,1163,0.995700773861,0.00429922613929,0.401677493761
20,20,PipeFish,78,1086,0.976247816027,0.138121546961,0.502318499093
21,21,Piranha,2,1162,0.999569707401,0.000860585197935,0.476649332205
22,22,RatFish,1,1163,0.998280309544,0.00171969045572,0.450643438944
23,23,ScorpionFish,23,1141,0.929962275654,0.209465381245,0.516426355787
24,24,SeaHorse,30,1134,0.95482069371,0.340388007055,0.360647306977
25,25,Seal,7,1157,0.99827139153,0.00691443388073,0.353390014095
26,26,Shark,6,1158,0.975100748417,0.149395509499,0.292271128255
27,27,Shrimp,16,1148,0.815820993031,0.884146341463,0.27155059764
28,28,Slug,2,1162,0.888984509466,0.159208261618,0.266203881181
29,29,StarFish,20,1144,0.971547202797,0.0174825174825,0.384863985925
30,30,Stingaree,11,1153,0.906331309627,0.466608846487,0.358200413983
31,31,SurgeonFish,7,1157,0.994690702556,0.0224719101124,0.515455056685
32,32,Turtle,40,1124,0.985008896797,0.0186832740214,0.329628719232
33,33,no camouflaged animal,582,582,0.581477840366,0.878006872852,0.26207761743
