class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.965576592083,0.0550774526678,0.257644218474
1,1,BatFish,2,1162,0.597246127367,0.488812392427,0.202653893957
2,2,Butterflyfish,6,1158,0.838514680484,0.410189982729,0.191973271898
3,3,ClownFish,12,1152,0.97923900463,0.176215277778,0.208054177608
4,4,Conch,19,1145,0.891381291657,0.241048034934,0.239797137078
5,5,Crab,15,1149,0.90577313606,0.314186248912,0.210573169508
6,6,CrocodileFish,3,1161,0.62962962963,0.938845822567,0.166054494975
7,7,CuttleFish,1,1163,0.959587274291,0.0404127257094,0.285645949166
8,8,Dolphin,9,1155,0.998556998557,0.004329004329,0.270112015538
9,9,Fish,86,1078,0.737503775294,0.857142857143,0.192495563802
10,10,Flounder,11,1153,0.824804856895,0.427580225499,0.224524634362
11,11,FrogFish,3,1161,0.956933677864,0.115417743325,0.247606745535
12,12,GhostPipeFish,23,1141,0.896886788858,0.170902716915,0.249357730402
13,13,Grouper,93,1071,0.9695892694,0.142857142857,0.246290943462
14,14,JellyFish,18,1146,0.924762458794,0.450261780105,0.193077599453
15,15,LeafySeaDragon,3,1161,0.987080103359,0.0387596899225,0.245221031291
16,16,MantaRay,7,1157,0.995308062724,0.0242005185825,0.257975323404
17,17,MorayEel,8,1156,0.958801903114,0.175605536332,0.251278272396
18,18,Octopus,17,1147,0.860762090364,0.46556233653,0.209327839975
19,19,Pagurian,1,1163,0.159931212382,0.840068787618,0.181793544825
20,20,PipeFish,78,1086,0.929581621571,0.40423572744,0.193840758285
21,21,Piranha,2,1162,0.993115318417,0.00688468158348,0.271481823479
22,22,RatFish,1,1163,0.950128976784,0.0498710232158,0.282147824548
23,23,ScorpionFish,23,1141,0.896086575468,0.373356704645,0.215064645742
24,24,SeaHorse,30,1134,0.940005878895,0.249559082892,0.220327237678
25,25,Seal,7,1157,0.993826398321,0.0319792566984,0.235604883869
26,26,Shark,6,1158,0.985175590098,0.0604490500864,0.232393901545
27,27,Shrimp,16,1148,0.803135888502,0.770034843206,0.168633630091
28,28,Slug,2,1162,0.842082616179,0.229776247849,0.197116273587
29,29,StarFish,20,1144,0.964947552448,0.229895104895,0.222484315901
30,30,Stingaree,11,1153,0.944729165024,0.209019947962,0.246913340885
31,31,SurgeonFish,7,1157,0.880602543524,0.56698357822,0.142096357735
32,32,Turtle,40,1124,0.975,0.138790035587,0.20836142167
33,33,no camouflaged animal,582,582,0.700055207189,0.855670103093,0.147953387053
