class_index,class_label,class_name,positive_count,negative_count,auroc,fpr_at_tpr_0.95,threshold_at_tpr_0.95
0,0,AngelFish,2,1162,0.810671256454,0.327022375215,0.189475922166
1,1,BatFish,2,1162,0.927710843373,0.101549053356,0.217741895765
2,2,Butterflyfish,6,1158,0.907023603915,0.367875647668,0.194917333613
3,3,ClownFish,12,1152,0.97728587963,0.199652777778,0.207392942765
4,4,Conch,19,1145,0.851390484946,0.5903930131,0.172385974072
5,5,Crab,15,1149,0.96559326951,0.118363794604,0.21118267197
6,6,CrocodileFish,3,1161,0.661211599196,0.538329026701,0.190857784806
7,7,CuttleFish,1,1163,0.999140154772,0.000859845227859,0.267219663971
8,8,Dolphin,9,1155,0.98075998076,0.0363636363636,0.209282837107
9,9,Fish,86,1078,0.637178021314,0.756957328386,0.177281784351
10,10,Flounder,11,1153,0.956713711267,0.156114483955,0.200462625105
11,11,FrogFish,3,1161,0.918173987941,0.178294573643,0.224960781418
12,12,GhostPipeFish,23,1141,0.895476889075,0.335670464505,0.199438544748
13,13,Grouper,93,1071,0.705631356485,0.615312791783,0.194314278613
14,14,JellyFish,18,1146,0.868576691875,0.837696335079,0.133687732073
15,15,LeafySeaDragon,3,1161,0.982773471146,0.0396210163652,0.229565518067
16,16,MantaRay,7,1157,0.980614890727,0.0440795159896,0.221350129941
17,17,MorayEel,8,1156,0.961829584775,0.110726643599,0.225440223873
18,18,Octopus,17,1147,0.913841735474,0.389712292938,0.187092724671
19,19,Pagurian,1,1163,0.761822871883,0.238177128117,0.164883371365
20,20,PipeFish,78,1086,0.943346555225,0.257826887661,0.225042780339
21,21,Piranha,2,1162,0.994836488812,0.00774526678141,0.216501291684
22,22,RatFish,1,1163,0.869303525365,0.130696474635,0.214392996165
23,23,ScorpionFish,23,1141,0.897001105057,0.525854513585,0.194211888026
24,24,SeaHorse,30,1134,0.94570840682,0.36860670194,0.199952289262
25,25,Seal,7,1157,0.957772564514,0.128781331029,0.191666674536
26,26,Shark,6,1158,0.942141623489,0.10103626943,0.197603699052
27,27,Shrimp,16,1148,0.829867160279,0.864982578397,0.130633356305
28,28,Slug,2,1162,0.728915662651,0.320137693632,0.15440978302
29,29,StarFish,20,1144,0.957561188811,0.111888111888,0.21365276669
30,30,Stingaree,11,1153,0.859023890247,0.418907198612,0.168931470366
31,31,SurgeonFish,7,1157,0.899864180763,0.216940363008,0.200316762371
32,32,Turtle,40,1124,0.94112544484,0.0951957295374,0.193905416406
33,33,no camouflaged animal,582,582,0.682214723492,0.814432989691,0.168229657496
